,Beer,Number of Reviews,Rating,ABV,Brewery,Style
0,Kentucky Brunch Brand Stout,738,4.84,12.0,Toppling Goliath Brewing Company,American Imperial Stout
1,Marshmallow Handjee,"1,650",4.74,15.0,3 Floyds Brewing Co.,Russian Imperial Stout
2,Barrel-Aged Abraxas,"1,483",4.74,11.0,Perennial Artisan Ales,American Imperial Stout
3,Hunahpu's Imperial Stout - Double Barrel Aged,"1,598",4.73,11.0,Cigar City Brewing,American Imperial Stout
4,King Julius,917,4.73,8.3,Tree House Brewing Company,New England IPA
5,Heady Topper,"14,459",4.71,8.0,The Alchemist,New England IPA
6,Very Hazy,826,4.72,8.6,Tree House Brewing Company,New England IPA
7,King JJJuliusss,408,4.73,8.4,Tree House Brewing Company,New England IPA
8,Drie Fonteinen Zenne Y Frontera,265,4.73,7.0,Brouwerij 3 Fonteinen,Belgian Lambic
9,Mornin' Delight,"1,482",4.7,12.0,Toppling Goliath Brewing Company,American Imperial Stout
10,Fundamental Observation,"1,260",4.7,14.3,Bottle Logic Brewing,American Imperial Stout
11,SR-71,500,4.71,14.0,Toppling Goliath Brewing Company,American Imperial Stout
12,Pliny The Younger,"3,242",4.69,10.25,Russian River Brewing Company,American Imperial IPA
13,Barrel Aged Imperial German Chocolate Cupcake Stout,222,4.72,11.0,Angry Chair Brewing,American Imperial Stout
14,Very Green,"1,128",4.68,8.6,Tree House Brewing Company,New England IPA
15,Bourbon County Brand Coffee Stout,"7,388",4.67,12.9,Goose Island Beer Co.,American Imperial Stout
16,Juice Machine,785,4.68,8.2,Tree House Brewing Company,New England IPA
17,It Was All A Dream,103,4.75,17.0,J. Wakefield Brewing,American Imperial Stout
18,Framboise Du Fermier,228,4.69,8.0,Side Project Brewing,Belgian Saison
19,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,906,4.66,12.0,AleSmith Brewing Company,American Imperial Stout
20,CBS (Canadian Breakfast Stout),"6,014",4.65,11.7,Founders Brewing Company,American Imperial Stout
21,Julius,"4,563",4.65,6.8,Tree House Brewing Company,New England IPA
22,Cantillon Fou' Foune,"3,087",4.65,5.5,Brasserie Cantillon,Belgian Fruit Lambic
23,Double Sunshine,"2,361",4.65,8.0,Lawson's Finest Liquids,American Imperial IPA
24,Westly,339,4.67,8.5,Sante Adairius Rustic Ales,American Wild Ale
25,Assassin,"1,331",4.65,12.0,Toppling Goliath Brewing Company,American Imperial Stout
26,Doubleganger,861,4.65,8.2,Tree House Brewing Company,New England IPA
27,Pliny The Elder,"15,059",4.64,8.0,Russian River Brewing Company,American Imperial IPA
28,Anabasis,121,4.71,14.0,Side Project Brewing,American Barleywine
29,Dinner,"2,364",4.64,8.2,Maine Beer Company,New England IPA
30,JJJuliusss,509,4.65,6.8,Tree House Brewing Company,New England IPA
31,Morning Wood,"1,137",4.64,12.0,Funky Buddha Brewery,American Imperial Porter
32,Abner,"2,755",4.63,8.2,Hill Farmstead Brewery,New England IPA
33,Duck Duck Gooze,"1,879",4.62,7.0,The Lost Abbey,Belgian Gueuze
34,Cantillon Lou Pepe - Kriek,"1,804",4.62,5.0,Brasserie Cantillon,Belgian Fruit Lambic
35,Nectarine Premiere,330,4.64,7.1,de Garde Brewing,Belgian Saison
36,Beer:Barrel:Time,148,4.67,15.0,Side Project Brewing,American Imperial Stout
37,Parabola,"6,892",4.61,12.7,Firestone Walker Brewing Co.,Russian Imperial Stout
38,King Sue,"2,380",4.61,8.0,Toppling Goliath Brewing Company,New England IPA
39,Double Citra,"1,952",4.61,8.0,Hill Farmstead Brewery,New England IPA
40,V.S.O.J.,128,4.67,14.0,Revolution Brewing,British Barleywine
41,Fuzzy,920,4.61,8.0,Side Project Brewing,American Wild Ale
42,KBS (Kentucky Breakfast Stout),"13,453",4.6,12.3,Founders Brewing Company,American Imperial Stout
43,Bourbon County Brand Stout,"12,889",4.6,15.2,Goose Island Beer Co.,American Imperial Stout
44,Trappist Westvleteren 12 (XII),"6,622",4.6,10.2,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Belgian Quadrupel (Quad)
45,Ghost In The Machine - Double Dry-Hopped,199,4.64,8.0,Parish Brewing Company,New England IPA
46,Headroom,682,4.61,8.0,Trillium Brewing Company,New England IPA
47,Grande Negro Voodoo Papi - Bourbon Barrel-Aged,364,4.62,12.5,Voodoo Brewery,American Imperial Stout
48,Bourbon County Brand Vanilla Stout,"1,713",4.6,14.9,Goose Island Beer Co.,American Imperial Stout
49,Double Galaxy,"1,523",4.6,8.0,Hill Farmstead Brewery,New England IPA
50,Bourbon Paradise,467,4.61,15.9,Prairie Artisan Ales,American Imperial Stout
51,Triple Sunshine,857,4.6,10.3,Lawson's Finest Liquids,American Imperial IPA
52,Ann,403,4.61,6.5,Hill Farmstead Brewery,Belgian Saison
53,Moment Of Clarity,265,4.62,7.7,Tree House Brewing Company,English Sweet / Milk Stout
54,Abricot Du Fermier,338,4.61,8.0,Side Project Brewing,Belgian Saison
55,Atrial Rubicite,"1,883",4.59,5.8,Jester King Brewery,American Wild Ale
56,Double Dry Hopped Congress Street,"1,492",4.59,7.2,Trillium Brewing Company,New England IPA
57,Society & Solitude #4,"1,310",4.59,8.0,Hill Farmstead Brewery,New England IPA
58,Triple Shot,449,4.6,9.0,Tree House Brewing Company,American Imperial Stout
59,Zombie Dust,"10,618",4.58,6.2,3 Floyds Brewing Co.,American Pale Ale (APA)
60,Pirate Paradise,251,4.61,13.0,Prairie Artisan Ales,American Imperial Stout
61,Green,"3,066",4.58,7.6,Tree House Brewing Company,New England IPA
62,Doppelganger,"1,835",4.58,8.2,Tree House Brewing Company,New England IPA
63,Double Dry Hopped Fort Point Pale Ale,"1,646",4.58,6.6,Trillium Brewing Company,American Pale Ale (APA)
64,Swish,"1,524",4.58,8.0,Bissell Brothers Brewing Co.,New England IPA
65,Maman,320,4.6,11.5,Perennial Artisan Ales,American Imperial Stout
66,Cantillon Lou Pepe - Framboise,"1,369",4.58,5.5,Brasserie Cantillon,Belgian Fruit Lambic
67,Beer Geek Vanilla Shake - Bourbon Barrel-Aged,501,4.59,13.0,Mikkeller ApS,American Imperial Stout
68,Cable Car,"1,065",4.58,7.0,The Lost Abbey,American Wild Ale
69,The Broken Truck,283,4.6,5.0,de Garde Brewing,American Wild Ale
